species	family	total_hits	filtered_hits	node	short
Ailuropoda_melanoleuca	Mir-196	3	2	Olfactores	A.melanoleuca
Ailuropoda_melanoleuca	Mir-197	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-199	3	3	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-202	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-203	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-204	2	2	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-205	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-208	2	2	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-21	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-210	1	1	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-214	1	1	Gnathostomata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-216	2	2	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-217	1	1	Chordata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-218	2	2	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-219	2	2	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-22	1	1	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-221	2	2	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-223	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-23	2	2	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-2387	1	1	Boreoeutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-24	2	2	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-2483	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-26	3	3	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-27	2	2	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-28	3	3	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-29	5	5	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-296	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-30	6	6	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-3059	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-3085	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-31	1	1	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-32	1	1	Gnathostomata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-320	2	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-324	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-325	6	1	Theria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-326	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-328	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-330	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-331	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-335	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-338	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-339	2	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-34	5	5	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-340	5	1	Theria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-342	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-345	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-346	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-350	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-361	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-3613	1	1	Theria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-362	7	4	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-370	1	1	Boreoeutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-374	2	2	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-375	1	1	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-376	5	5	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-378	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-383	1	1	Tetrapoda	A.melanoleuca
Ailuropoda_melanoleuca	Mir-384	3	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-423	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-425	1	1	Gnathostomata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-430	7	7	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-431	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-432	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-433	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-450	3	3	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-451	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-455	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-459	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-483	3	1	Theria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-486	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-488	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-489	1	1	Osteichthyes	A.melanoleuca
Ailuropoda_melanoleuca	Mir-490	1	1	Amniota	A.melanoleuca
Ailuropoda_melanoleuca	Mir-491	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-493	7	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-499	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-504	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-505	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-506	8	8	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-541	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-542	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-544	591	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-551	2	2	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-574	414	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-582	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-590	1	1	Mammalia	A.melanoleuca
Ailuropoda_melanoleuca	Mir-592	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-599	1	1	Sarcopterygii	A.melanoleuca
Ailuropoda_melanoleuca	Mir-628	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-652	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-6529	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-653	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-670	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-6715	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-676	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-7	3	3	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-744	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-760	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-769	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-8	5	5	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-873	1	1	Mammalia	A.melanoleuca
Ailuropoda_melanoleuca	Mir-874	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-875	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-876	2	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-885	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-9	3	3	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-92	5	5	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-95	15	4	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-96	3	3	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-9851	1	1	Eutheria	A.melanoleuca
Aotus_nancymaae	Let-7	12	12	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-1	5	3	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-10	8	8	Eumetazoa	A.nancymaae
Aotus_nancymaae	Mir-101	2	2	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-103	3	3	Deuterostomia	A.nancymaae
Aotus_nancymaae	Mir-105	3	2	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-1180	1	1	Catarrhini	A.nancymaae
Aotus_nancymaae	Mir-122	1	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-124	3	3	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-1247	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-1249	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-1251	1	1	Theria	A.nancymaae
Aotus_nancymaae	Mir-126	1	1	Olfactores	A.nancymaae
Aotus_nancymaae	Mir-127	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-1277	2258	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-128	2	2	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-129	2	2	Chordata	A.nancymaae
Aotus_nancymaae	Mir-1296	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-1298	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-130	8	7	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-1301	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-1306	1	1	Gnathostomata	A.nancymaae
Aotus_nancymaae	Mir-1307	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-132	2	2	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-133	3	3	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-134	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-135	3	3	Chordata	A.nancymaae
Aotus_nancymaae	Mir-136	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-137	1	1	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-138	2	2	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-139	1	1	Gnathostomata	A.nancymaae
Aotus_nancymaae	Mir-140	1	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-142	2	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-143	1	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-144	1	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-145	1	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-146	2	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-147	5	2	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-148	4	4	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-149	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-15	7	7	Olfactores	A.nancymaae
Aotus_nancymaae	Mir-150	1	1	Gnathostomata	A.nancymaae
Aotus_nancymaae	Mir-153	2	2	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-154	30	30	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-155	1	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-17	9	8	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-181	6	6	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-184	1	1	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-185	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-186	2	1	Mammalia	A.nancymaae
Aotus_nancymaae	Mir-187	2	1	Osteichthyes	A.nancymaae
Aotus_nancymaae	Mir-188	3	3	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-19	3	3	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-190	3	3	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-191	1	1	Gnathostomata	A.nancymaae
Aotus_nancymaae	Mir-1911	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-192	2	2	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-193	7	6	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-194	2	2	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-196	4	3	Olfactores	A.nancymaae
Aotus_nancymaae	Mir-197	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-199	3	3	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-202	1	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-203	1	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-204	2	2	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-205	1	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-208	2	2	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-21	1	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-210	1	1	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-2114	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-214	2	1	Gnathostomata	A.nancymaae
Aotus_nancymaae	Mir-216	3	2	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-217	1	1	Chordata	A.nancymaae
Aotus_nancymaae	Mir-218	2	2	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-219	4	1	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-22	1	1	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-221	5	5	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-223	2	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-224	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-23	3	2	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-2355	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-24	2	2	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-26	3	3	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-27	2	2	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-28	5	3	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-29	4	4	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-296	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-30	6	6	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-3059	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-3085	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-31	2	1	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-3140	1	1	Catarrhini	A.nancymaae
Aotus_nancymaae	Mir-32	2	1	Gnathostomata	A.nancymaae
Aotus_nancymaae	Mir-320	47	9	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-324	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-326	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-328	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-33	2	2	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-330	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-331	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-335	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-337	2	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-338	1	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-339	2	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-34	6	6	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-340	7	1	Theria	A.nancymaae
Aotus_nancymaae	Mir-342	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-346	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-3613	2	2	Theria	A.nancymaae
Aotus_nancymaae	Mir-362	6	6	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-370	2	1	Boreoeutheria	A.nancymaae
Aotus_nancymaae	Mir-374	2	2	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-375	1	1	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-376	6	5	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-378	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-383	2	2	Tetrapoda	A.nancymaae
Aotus_nancymaae	Mir-423	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-425	1	1	Gnathostomata	A.nancymaae
Aotus_nancymaae	Mir-430	67	67	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-431	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-432	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-433	2	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-448	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-450	3	3	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-451	1	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-452	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-455	1	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-459	1	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-483	8	1	Theria	A.nancymaae
Aotus_nancymaae	Mir-486	3	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-488	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-489	2	1	Osteichthyes	A.nancymaae
Aotus_nancymaae	Mir-490	1	1	Amniota	A.nancymaae
Aotus_nancymaae	Mir-491	2	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-493	5	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-499	1	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-504	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-505	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-506	31	31	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-511	1	1	Euarchontoglires	A.nancymaae
Aotus_nancymaae	Mir-541	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-542	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-544	659	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-551	2	2	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-582	3	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-589	1	1	Catarrhini	A.nancymaae
Aotus_nancymaae	Mir-590	1	1	Mammalia	A.nancymaae
Aotus_nancymaae	Mir-592	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-598	2	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-599	1	1	Sarcopterygii	A.nancymaae
Aotus_nancymaae	Mir-615	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-628	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-652	2	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-6529	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-653	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-670	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-671	1	1	Theria	A.nancymaae
Aotus_nancymaae	Mir-6715	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-675	1	1	Theria	A.nancymaae
Aotus_nancymaae	Mir-676	2	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-7	3	3	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-7180	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-744	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-760	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-769	2	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-8	5	5	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-873	1	1	Mammalia	A.nancymaae
Aotus_nancymaae	Mir-874	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-875	3	1	Vertebrata	A.nancymaae
Aotus_nancymaae	Mir-876	3	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-877	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-885	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-9	4	3	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-92	6	6	Bilateria	A.nancymaae
Aotus_nancymaae	Mir-935	1	1	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-95	22	4	Eutheria	A.nancymaae
Aotus_nancymaae	Mir-96	4	4	Bilateria	A.nancymaae
Balaenoptera_musculus	Let-7	13	12	Bilateria	B.musculus
Balaenoptera_musculus	Mir-1	3	3	Bilateria	B.musculus
Balaenoptera_musculus	Mir-10	8	8	Eumetazoa	B.musculus
Balaenoptera_musculus	Mir-101	2	2	Vertebrata	B.musculus
Balaenoptera_musculus	Mir-103	3	3	Deuterostomia	B.musculus
Balaenoptera_musculus	Mir-105	2	2	Eutheria	B.musculus
Balaenoptera_musculus	Mir-122	2	1	Vertebrata	B.musculus
Balaenoptera_musculus	Mir-124	3	3	Bilateria	B.musculus
Balaenoptera_musculus	Mir-1247	1	1	Eutheria	B.musculus
Balaenoptera_musculus	Mir-1249	1	1	Eutheria	B.musculus
Balaenoptera_musculus	Mir-1251	1	1	Theria	B.musculus
Balaenoptera_musculus	Mir-126	1	1	Olfactores	B.musculus
Balaenoptera_musculus	Mir-127	1	1	Eutheria	B.musculus
Balaenoptera_musculus	Mir-1271	23	1	Eutheria	B.musculus
Balaenoptera_musculus	Mir-1277	1494	1	Eutheria	B.musculus
Balaenoptera_musculus	Mir-128	2	2	Vertebrata	B.musculus
Balaenoptera_musculus	Mir-129	2	2	Chordata	B.musculus
Balaenoptera_musculus	Mir-1296	1	1	Eutheria	B.musculus
Balaenoptera_musculus	Mir-1298	1	1	Eutheria	B.musculus
Balaenoptera_musculus	Mir-130	5	5	Vertebrata	B.musculus
